Corrected_DNA_ID	Cruise	Station	Niskin	Latitude	Longitude	Pressure	Temperature	Salinity	Oxygen	Phosphate	Silicate	Nitrate	Nitrite	DNA.concentration.ng.uL	'Photic.Zone	'	Eukaryotic_Fraction_from_Trimmed_Sequences_(18S/16S+18S)
P16N-S40-N04	P16N	S40	N04	18	-152	179.1	19.2217	34.8762	206.7	0.17	1.42	1.89	0.02	6.20147954669384	'Aphotic	'	0.08171141
P16N-S40-N05	P16N	S40	N05	18	-152	143.6	21.4876	35.0373	192	0.07	0.62	0.07	0.07	10.8917468083077	'Euphotic	'	0.03479181
P16N-S40-N06	P16N	S40	N06	18	-152	114.1	23.5951	34.9536	207.4	0.05	0.36	0.05	0.01	13.4311555844013	'Euphotic	'	0.04011138
P16N-S40-N09	P16N	S40	N09	18	-152	47.1	23.7192	34.6042	212.9	0.09	0.32	0	0.01	12.3051142083222	'Euphotic	'	0.03465315
P16N-S40-N10	P16N	S40	N10	18	-152	24.4	23.7481	34.5319	-999	0.09	0.29	0.02	0.01	12.4	'Euphotic	'	0.04502562
P16N-S47-N01	P16N	S47	N01	24.9995	-152	957.4	4.1034	34.3907	31.6	3.04	108.22	42.78	0	1.1	'Aphotic	'	0.020546
P16N-S47-N03	P16N	S47	N03	24.9995	-152	553.6	7.0714	34.0345	210.4	-999	-999	-999	-999	1.35	'Aphotic	'	0.00702415
P16N-S47-N05	P16N	S47	N05	24.9995	-152	228.7	16.8565	34.6948	209.3	0.28	2.83	3.32	0.02	3.12	'Aphotic	'	0.01188486
P16N-S47-N06	P16N	S47	N06	24.9995	-152	177.4	19.2358	34.9562	202.5	0.18	1.46	1.86	0.03	5.09	'Aphotic	'	0.00828062
P16N-S47-N08	P16N	S47	N08	24.9995	-152	106.4	21.9777	35.2906	209.9	0.06	0.2	0	0.01	2.62	'Euphotic	'	0.00111997
P16N-S47-N11	P16N	S47	N11	24.9995	-152	40.2	22.023	35.2847	217.6	0.04	0.1	0	0.01	5.66	'Euphotic	'	0.00245428
P16N-S47-N12	P16N	S47	N12	24.9995	-152	19.9	22.0173	35.2853	217.7	0.04	0	0	0	6.11	'Euphotic	'	0.0125523
P16N-S51-N01	P16N	S51	N01	28.9915	-151.998	959.1	3.7933	34.3497	15.7	3.1	117.27	43.6	0	0.8	'Aphotic	'	0.0356979
P16N-S51-N03	P16N	S51	N03	28.9915	-151.998	553.5	6.5185	33.9976	148.6	2.09	50.13	30.08	0	1.43730764717088	'Aphotic	'	0.03436748
